"Pep"	"Molec"	"What"	"Value"	"DKL"	"tg"	"ba"
"pep2"	"DR_15"	"Mode"	0.00616887710099271	1.46746029475002	0	1
"pep2"	"DR_15"	"Median"	0.0661423056756777	1.46746029475002	0	1
"pep2"	"DR_13"	"Mean"	0.177783424937556	0.761440370295014	NA	0
"pep2"	"DR_13"	"Mode"	0.029513691775276	0.761440370295014	NA	0
"pep2"	"DR_13"	"Median"	0.146874270377305	0.761440370295014	NA	0
"pep2"	"DR_17"	"Mean"	0.165154240043819	0.858232271675465	NA	NA
"pep2"	"DR_17"	"Mode"	0.0580586794254741	0.858232271675465	NA	NA
"pep2"	"DR_17"	"Median"	0.141985382132125	0.858232271675465	NA	NA
"pep2"	"DR_14"	"Mean"	0.163820658722499	0.835517126727554	NA	NA
"pep2"	"DR_14"	"Mode"	0.0101309638892145	0.835517126727554	NA	NA
"pep2"	"DR_14"	"Median"	0.136575249653059	0.835517126727554	NA	NA
"pep2"	"DR_7"	"Mean"	0.0840804071567625	1.46026646628527	NA	1
"pep2"	"DR_7"	"Mode"	0.00247119913764127	1.46026646628527	NA	1
"pep2"	"DR_7"	"Median"	0.0623555114598821	1.46026646628527	NA	1
"pep2"	"DR_8"	"Mean"	0.335909149939085	0.185970240012346	NA	NA
"pep2"	"DR_8"	"Mode"	0.0232986147822886	0.185970240012346	NA	NA
"pep2"	"DR_8"	"Median"	0.295356253035243	0.185970240012346	NA	NA
"pep2"	"DR_12"	"Mean"	0.241696846002697	0.437040973448452	NA	NA
"pep2"	"DR_12"	"Mode"	0.0086687450904456	0.437040973448452	NA	NA
"pep2"	"DR_12"	"Median"	0.192897668439312	0.437040973448452	NA	NA
"pep2"	"DR_10"	"Mean"	0.578894445396379	0.049117350972379	NA	NA
"pep2"	"DR_10"	"Mode"	0.963738422852156	0.049117350972379	NA	NA
"pep2"	"DR_10"	"Median"	0.604650842357611	0.049117350972379	NA	NA
"pep2"	"DR_9"	"Mean"	0.250399015107449	0.4192435340694	NA	1
"pep2"	"DR_9"	"Mode"	0.0203140323861672	0.4192435340694	NA	1
"pep2"	"DR_9"	"Median"	0.207343808900569	0.4192435340694	NA	1
"pep2"	"DQ_6"	"Mean"	0.069619582531094	1.65875237265206	NA	NA
"pep2"	"DQ_6"	"Mode"	0.00236260376098135	1.65875237265206	NA	NA
"pep2"	"DQ_6"	"Median"	0.0538233194572974	1.65875237265206	NA	NA
"pep2"	"DQ_2"	"Mean"	0.0700790794218834	1.6436950378231	NA	NA
"pep2"	"DQ_2"	"Mode"	0.00168714788236461	1.6436950378231	NA	NA
"pep2"	"DQ_2"	"Median"	0.0525087034369244	1.6436950378231	NA	NA
"pep2"	"DQ_5"	"Mean"	0.0779950211145863	1.55855109292502	NA	NA
"pep2"	"DQ_5"	"Mode"	0.00127302865191623	1.55855109292502	NA	NA
"pep2"	"DQ_5"	"Median"	0.0620739565879965	1.55855109292502	NA	NA
"pep2"	"DQ_7"	"Mean"	0.100112633226546	1.29879248057	NA	NA
"pep2"	"DQ_7"	"Mode"	0.00501679790036556	1.29879248057	NA	NA
"pep2"	"DQ_7"	"Median"	0.077638647187536	1.29879248057	NA	NA
"pep2"	"DQ_8"	"Mean"	0.101421411131804	1.31627079324444	NA	NA
"pep2"	"DQ_8"	"Mode"	0.0341394197935311	1.31627079324444	NA	NA
"pep2"	"DQ_8"	"Median"	0.0832296706199124	1.31627079324444	NA	NA
"pep2"	"DQ_9"	"Mean"	0.230867677285654	0.518708595691264	NA	NA
"pep2"	"DQ_9"	"Mode"	0.0385531697176206	0.518708595691264	NA	NA
"pep2"	"DQ_9"	"Median"	0.198169519440564	0.518708595691264	NA	NA
"pep3"	"DR_11"	"Mean"	0.265583585618674	0.433880558524786	NA	0
"pep3"	"DR_11"	"Mode"	0.0178016374823413	0.433880558524786	NA	0
"pep3"	"DR_11"	"Median"	0.239886788656784	0.433880558524786	NA	0
"pep3"	"DR_1"	"Mean"	0.0568119828853517	1.8449838162607	0	1
"pep3"	"DR_1"	"Mode"	0.00141073401184934	1.8449838162607	0	1
"pep3"	"DR_1"	"Median"	0.0409488632338448	1.8449838162607	0	1
"pep3"	"DR_4"	"Mean"	0.127256926095671	1.09833472701516	0	0
"pep3"	"DR_4"	"Mode"	0.0147333531172429	1.09833472701516	0	0
"pep3"	"DR_4"	"Median"	0.106627345529374	1.09833472701516	0	0
"pep3"	"DR_15"	"Mean"	0.0643865436999787	1.72438556820095	0	1
"pep3"	"DR_15"	"Mode"	0.00130621654262899	1.72438556820095	0	1
"pep3"	"DR_15"	"Median"	0.0472349713298423	1.72438556820095	0	1
"pep3"	"DR_13"	"Mean"	0.43896512269271	0.200064493470162	NA	1
"pep3"	"DR_13"	"Mode"	0.475946458053038	0.200064493470162	NA	1
"pep3"	"DR_13"	"Median"	0.442539842098234	0.200064493470162	NA	1
"pep3"	"DR_17"	"Mean"	0.240060250495483	0.550812691062427	NA	NA
"pep3"	"DR_17"	"Mode"	0.183166069715296	0.550812691062427	NA	NA
"pep3"	"DR_17"	"Median"	0.220823935507619	0.550812691062427	NA	NA
"pep3"	"DR_14"	"Mean"	0.208401148936693	0.620096892411113	NA	NA
"pep3"	"DR_14"	"Mode"	0.0182522599543291	0.620096892411113	NA	NA
"pep3"	"DR_14"	"Median"	0.176858417758953	0.620096892411113	NA	NA
"pep3"	"DR_7"	"Mean"	0.143310394814734	0.94744437074718	NA	1
"pep3"	"DR_7"	"Mode"	0.00475884868752247	0.94744437074718	NA	1
"pep3"	"DR_7"	"Median"	0.111091688180241	0.94744437074718	NA	1
"pep3"	"DR_8"	"Mean"	0.343529778472415	0.173861812941761	NA	NA
"pep3"	"DR_8"	"Mode"	0.0109500680503546	0.173861812941761	NA	NA
"pep3"	"DR_8"	"Median"	0.307284801986592	0.173861812941761	NA	NA
"pep3"	"DR_12"	"Mean"	0.250855377774942	0.418473921700495	NA	NA
"pep3"	"DR_12"	"Mode"	0.00120935899435899	0.418473921700495	NA	NA
"pep3"	"DR_12"	"Median"	0.211863215569465	0.418473921700495	NA	NA
"pep3"	"DR_10"	"Mean"	0.557258193022699	0.0224619087117177	NA	NA
"pep3"	"DR_10"	"Mode"	0.92874369187642	0.0224619087117177	NA	NA
"pep3"	"DR_10"	"Median"	0.579402719769291	0.0224619087117177	NA	NA
"pep3"	"DR_9"	"Mean"	0.360117310187167	0.151516100372353	NA	1
"pep3"	"DR_9"	"Mode"	0.0707857388666511	0.151516100372353	NA	1
"pep3"	"DR_9"	"Median"	0.330811140055679	0.151516100372353	NA	1
"pep3"	"DQ_6"	"Mean"	0.0678921663211664	1.67185747230872	NA	NA
"pep3"	"DQ_6"	"Mode"	0.00235227411026617	1.67185747230872	NA	NA
"pep3"	"DQ_6"	"Median"	0.0503617211615923	1.67185747230872	NA	NA
"pep3"	"DQ_2"	"Mean"	0.131806271617688	1.05889558017364	NA	NA
"pep3"	"DQ_2"	"Mode"	0.00252893902701493	1.05889558017364	NA	NA
"pep3"	"DQ_2"	"Median"	0.111341262926424	1.05889558017364	NA	NA
"pep3"	"DQ_5"	"Mean"	0.0513428205513872	1.94722165746951	NA	NA
"pep3"	"DQ_5"	"Mode"	0.00616101550026272	1.94722165746951	NA	NA
"pep3"	"DQ_5"	"Median"	0.0368633671579462	1.94722165746951	NA	NA
"pep3"	"DQ_7"	"Mean"	0.111052774180344	1.20837486493405	NA	NA
